Edges,RuntimeInSeconds,Graph
18196,54.967,2
18196,53.3861,2
18196,55.2631,2
18196,58.8114,2
18196,52.5862,2
18196,54.194,2
18196,56.5666,2
18196,52.9089,2
18196,55.7629,2
18196,58.9619,2
18396,31.9287,2
18396,33.4869,2
18396,29.8398,2
18396,33.155,2
18396,33.2946,2
18396,27.1119,2
18396,31.8881,2
18396,31.9488,2
18396,25.0708,2
18396,26.4081,2
18596,31.9749,2
18596,44.1958,2
18596,42.6632,2
18596,36.0971,2
18596,44.2079,2
18596,33.1522,2
18596,41.3804,2
18596,33.4978,2
18596,33.9039,2
18596,30.2341,2
18796,164.8494,2
18796,136.4537,2
18796,186.5425,2
18796,193.8621,2
18796,194.8024,2
18796,189.1036,2
18796,166.6256,2
18796,187.7567,2
18796,157.7231,2
18796,199.1467,2
18996,129.4101,2
18996,134.4791,2
18996,127.4412,2
18996,106.8384,2
18996,131.749,2
18996,106.5375,2
18996,127.7906,2
18996,127.8894,2
18996,125.9443,2
18996,108.7473,2
13196,14.0127,2
13196,14.8454,2
13196,14.5753,2
13196,14.5119,2
13196,14.8245,2
13196,14.4495,2
13196,14.5569,2
13196,15.0467,2
13196,14.5076,2
13196,14.3405,2
13396,115.6916,2
13396,137.752,2
13396,144.2576,2
13396,118.4124,2
13396,143.6954,2
13396,149.1911,2
13396,154.7433,2
13396,128.6486,2
13396,138.3386,2
13396,147.8918,2
13596,28.1206,2
13596,27.4047,2
13596,28.6211,2
13596,27.0123,2
13596,29.9618,2
13596,28.1865,2
13596,28.8258,2
13596,28.0515,2
13596,28.0697,2
13596,27.4811,2
13796,52.6909,2
13796,49.9354,2
13796,48.9676,2
13796,48.9504,2
13796,54.24,2
13796,45.59,2
13796,53.9632,2
13796,51.1201,2
13796,47.4408,2
13796,49.5892,2
13996,32.1673,2
13996,31.4635,2
13996,32.6625,2
13996,33.0425,2
13996,31.7825,2
13996,30.985,2
13996,35.3849,2
13996,31.3798,2
13996,31.0468,2
13996,32.1149,2
14196,128.1962,2
14196,117.6477,2
14196,124.9808,2
14196,101.3621,2
14196,98.9105,2
14196,115.5749,2
14196,108.8917,2
14196,73.8308,2
14196,116.3416,2
14196,125.3923,2
14396,30.6184,2
14396,30.9541,2
14396,31.3254,2
14396,31.335,2
14396,30.7403,2
14396,33.5811,2
14396,31.2617,2
14396,31.9427,2
14396,32.0651,2
14396,32.2215,2
14596,54.2957,2
14596,59.4054,2
14596,58.6349,2
14596,60.9207,2
14596,50.3557,2
14596,52.4372,2
14596,56.1775,2
14596,49.9396,2
14596,61.3181,2
14596,55.2926,2
14796,25.1805,2
14796,27.4091,2
14796,28.4104,2
14796,28.792,2
14796,28.0939,2
14796,28.5717,2
14796,24.6934,2
14796,27.0927,2
14796,25.4923,2
14796,27.9717,2
14996,167.597,2
14996,154.2701,2
14996,136.3708,2
14996,192.0487,2
14996,205.1674,2
14996,185.8194,2
14996,203.4465,2
14996,209.4022,2
14996,198.0789,2
14996,198.9687,2
12196,18.285,2
12196,17.1274,2
12196,18.1004,2
12196,18.5907,2
12196,17.2086,2
12196,17.7002,2
12196,17.7049,2
12196,17.4017,2
12196,17.9676,2
12196,17.4776,2
12396,110.2876,2
12396,119.1888,2
12396,127.6911,2
12396,106.2181,2
12396,127.1524,2
12396,125.2808,2
12396,127.2473,2
12396,103.6714,2
12396,116.7026,2
12396,108.7215,2
12596,78.7701,2
12596,83.8857,2
12596,84.8549,2
12596,87.1973,2
12596,85.8124,2
12596,78.4132,2
12596,87.2424,2
12596,82.9174,2
12596,84.0526,2
12596,87.2488,2
12796,90.8701,2
12796,85.0124,2
12796,84.8631,2
12796,91.5765,2
12796,81.2439,2
12796,84.5437,2
12796,86.972,2
12796,92.952,2
