Edges,RuntimeInSeconds
18258,39.6857
18258,39.4218
18258,38.4192
18258,38.1814
18258,37.7956
18258,38.3425
18258,39.2231
18258,39.7357
18258,39.3727
18258,40.0595
18658,22.0959
18658,21.894
18658,22.2987
18658,21.7131
18658,22.2356
18658,21.6182
18658,21.7596
18658,21.2862
18658,22.9601
18658,22.8559
18959,9.9494
18959,9.8135
18959,10.0262
18959,9.9059
18959,10.0121
18959,10.2375
18959,9.9902
18959,10.1261
18959,9.9162
18959,10.0296
19077,55.8037
19077,52.1552
19077,52.7439
19077,53.4756
19077,54.428
19077,52.5727
19077,52.3609
19077,54.75
19077,50.633
19077,53.8124
19825,20.4978
19825,19.9927
19825,19.6817
19825,20.4196
19825,19.7392
19825,20.5235
19825,20.1344
19825,20.0694
19825,19.9045
19825,19.9956
19526,53.6725
19526,54.9095
19526,54.4886
19526,53.1372
19526,53.86
19526,52.8093
19526,51.5837
19526,54.1159
19526,52.7588
19526,52.3006
20095,9.2796
20095,9.2541
20095,9.184
20095,6.2209
20095,6.1912
20095,9.3467
20095,9.1504
20095,9.2548
20095,9.2726
20095,9.2386
20438,21.115
20438,21.0195
20438,20.5411
20438,20.3334
20438,20.6177
20438,20.3273
20438,20.3644
20438,20.0571
20438,20.6194
20438,20.9247
20677,17.9633
20677,17.0552
20677,17.0771
20677,17.1545
20677,17.8885
20677,17.5188
20677,17.6193
20677,17.4073
20677,17.2285
20677,17.2146
21140,14.0501
21140,13.7354
21140,12.9629
21140,13.4866
21140,13.0758
21140,13.632
21140,10.3802
21140,12.8824
21140,13.1051
21140,12.8198
21218,23.3769
21218,23.4639
21218,23.7365
21218,23.0365
21218,23.5929
21218,24.2531
21218,23.2464
21218,22.923
21218,23.4061
21218,23.5274
21576,15.7422
21576,15.5113
21576,15.9454
21576,15.6924
21576,15.6318
21576,15.6724
21576,15.9817
21576,15.4956
21576,15.6745
21576,15.7202
21791,22.388
21791,21.0755
21791,21.0013
21791,21.6098
21791,21.9721
21791,21.8856
21791,21.6663
21791,21.9312
21791,22.0608
21791,22.5811
22060,25.0292
22060,25.3104
22060,25.1336
22060,24.6874
22060,24.5468
22060,25.1988
22060,25.2433
22060,26.3097
22060,24.4246
22060,25.28
22401,16.7363
22401,16.6645
22401,16.3801
22401,16.4637
22401,16.8317
22401,16.4348
22401,16.3119
22401,16.2467
22401,16.052
22401,16.238
22798,19.4691
22798,19.449
22798,19.1033
22798,18.9993
22798,18.7783
22798,19.124
22798,18.6057
22798,19.2569
22798,18.5345
22798,16.0932
23169,53.3334
23169,55.1354
23169,55.0655
23169,54.0458
23169,55.2719
23169,56.269
23169,54.3915
23169,53.9605
23169,57.0975
23169,54.4113
23325,30.5667
23325,30.2034
23325,30.1457
23325,30.4291
23325,30.8846
23325,29.8618
23325,29.8998
23325,30.7657
23325,29.4448
23325,30.7785
23737,14.6454
23737,14.7157
23737,15.0291
23737,14.4281
23737,14.5794
23737,14.9949
23737,14.6296
23737,14.6789
23737,14.3487
23737,14.4146
23898,57.3208
23898,53.434
23898,55.2084
23898,56.1265
23898,56.0188
23898,58.6701
23898,58.0601
23898,55.6759
23898,57.5877
23898,57.8499
12245,23.8352
12245,24.1656
12245,23.5459
12245,24.5438
12245,24.1641
12245,24.7771
12245,24.7918
12245,24.1883
12245,24.1027
12245,24.6002
12654,39.0088
12654,39.9207
12654,39.7547
12654,39.5111
12654,39.5789
12654,39.5023
12654,39.7456
12654,39.8692
12654,39.7188
12654,38.9379
12852,8.0962
12852,8.0191
12852,5.001
12852,8.0298
12852,8.0383
12852,8.0374
12852,8.0275
12852,8.1435
12852,8.155
12852,5.0821
13533,21.3644
13533,20.9475
13533,21.2201
13533,20.6337
13533,21.222
13533,20.762
13533,21.0622
13533,20.5996
13533,20.8561
13533,20.8929
13396,33.6924
13396,34.0932
13396,33.8106
13396,33.7226
13396,33.2485
13396,33.5064
13396,34.078
13396,34.3021
13396,34.4126
13396,34.2562
13823,35.2812
13823,34.8086
13823,35.6002
13823,34.9816
13823,35.6429
13823,34.7744
13823,34.8853
13823,35.8803
13823,34.7417
13823,36.1109
14031,31.0939
14031,30.3822
14031,29.9341
14031,31.0688
14031,31.1816
14031,30.7933
14031,30.0189
14031,29.7685
14031,30.2624
14031,30.79
14585,14.0313
14585,13.5579
14585,13.608
14585,13.5812
14585,14.0185
14585,14.1853
14585,14.15
14585,14.0794
14585,13.801
14585,13.8419
14817,11.2121
14817,11.1606
14817,11.2196
14817,11.138
14817,10.9242
14817,11.3963
14817,11.2922
14817,11.5454
14817,10.9588
14817,11.1763
15074,9.0359
15074,8.9152
15074,8.9556
15074,8.9341
15074,6.029
15074,8.8021
15074,5.8121
15074,8.8873
15074,8.997
15074,5.909
15325,8.1429
15325,5.3698
15325,8.301
15325,8.4716
15325,8.4719
15325,8.4114
15325,8.3153
15325,5.3115
15325,5.3193
15325,8.1675
15590,24.3897
15590,24.6209
15590,25.5629
15590,24.3386
15590,24.3244
15590,24.2086
15590,25.0096
15590,24.2849
15590,24.4772
15590,24.9334
15946,16.4764
15946,17.1478
15946,16.6971
15946,16.5228
15946,16.7177
15946,16.7377
15946,16.4432
15946,16.2555
15946,16.9032
15946,16.4701
16054,38.2789
16054,38.1189
16054,38.5849
16054,38.4831
16054,37.975
16054,38.2584
16054,38.6097
16054,36.8155
16054,38.2779
16054,38.4123
16673,41.1834
16673,40.7208
16673,41.9039
16673,40.9489
16673,42.2308
16673,41.3207
16673,41.9514
16673,41.3519
16673,41.6651
16673,41.4223
16890,47.2912
16890,48.2578
16890,49.3576
16890,46.1801
16890,48.8642
16890,48.2525
16890,48.4106
16890,47.9211
16890,47.9074
16890,48.1501
17064,8.9399
17064,8.903
17064,5.8882
17064,9.0872
17064,8.7834
17064,8.7401
17064,8.8661
17064,8.7574
17064,8.8315
17064,8.7003
17177,36.3702
17177,37.221
17177,37.0096
17177,37.2416
17177,37.2008
17177,35.7491
17177,33.5634
17177,35.8965
17177,36.8699
17177,35.8834
17929,25.5025
17929,25.6857
17929,25.2884
17929,26.0937
17929,25.6677
17929,25.6523
17929,25.3813
17929,24.7976
17929,25.3898
17929,25.7025
18140,38.5
18140,38.2733
18140,38.2671
18140,38.6642
18140,38.4087
18140,38.4792
18140,38.0364
18140,38.4843
18140,37.7781
18140,37.8209
6259,6.9252
6259,6.8625
6259,6.8731
6259,6.8186
6259,6.9507
6259,6.785
6259,6.8711
6259,6.9723
6259,6.9402
6259,6.9753
6567,11.3495
6567,11.4654
6567,11.5323
6567,11.3088
6567,8.857
6567,11.8176
6567,11.2295
6567,11.544
6567,11.516
6567,11.3681
6813,8.0186
6813,7.8716
6813,7.9752
6813,4.958
6813,7.8735
6813,7.8816
6813,4.9701
6813,8.0499
